,Smiles,pIC50
48,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCC)cc3)ccc2)cccc1-c1nc(OC)c(CNCC)cc1,1
49,O(C)c1c(CN(CC)CC)ccc(-c2c(C)c(-c3c(C)c(-c4nc(OC)c(CNCC)cc4)ccc3)ccc2)n1,1
50,O(C)c1c(CNCC)ccc(-c2c(C)c(-c3c(C)c(-c4nc(OC)c(CNCC)cc4)ccc3)ccc2)n1,1
51,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)C4CNC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
52,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)[C@H]4NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
53,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)[C@@H]4NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
54,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)C4CCNCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
55,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CCCN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
56,Clc1c(-c2c(Cl)c(-c3ccc(N)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
57,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CCN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
58,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
59,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNC[C@@H](O)CC(=O)O)cc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,1
60,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNCCO)cc2)cccc1-c1nc(OC)c(CNCCO)cc1,1
61,Clc1c(c(F)ccc1-c1c(Cl)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1)-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
62,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
63,Clc1c(-c2c(Cl)c(-c3ccc(S(=O)(=O)NCCNC)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,1
64,Clc1c(-c2c(Cl)c(-c3ccc(S(=O)(=O)NCCNC)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
65,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCS(=O)(=O)N)cc3)ccc2)cccc1-c1nc(OC)c(CNCCS(=O)(=O)N)cc1,1
66,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCS(=O)(=O)C)cc3)ccc2)cccc1-c1nc(OC)c(CNCCS(=O)(=O)C)cc1,1
67,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2C[C@@H](C(=O)O)CC2)cc1,1
68,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC(C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC(C(=O)O)CC2)cc1,1
69,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CCCC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CCCC2)cc1,1
70,Brc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(CN(C(=O)C)C5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(CN(C(=O)C)C3)C2)cc1,1
71,Brc1c(-c2c(SC)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
72,Brc1c(-c2c(SC)c(-c3nc(OC)c(CNCC4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
