,ID,Smiles,pIC50
46,46,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC4C(=O)NC4)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@@H]2C(=O)NC2)cc1,9.2676058
47,47,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CN[C@](C(=O)O)(CO)C)cc1,9.211832
48,48,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCC)cc3)ccc2)cccc1-c1nc(OC)c(CNCC)cc1,9.3893394
49,49,O(C)c1c(CN(CC)CC)ccc(-c2c(C)c(-c3c(C)c(-c4nc(OC)c(CNCC)cc4)ccc3)ccc2)n1,8.2550812
50,50,O(C)c1c(CNCC)ccc(-c2c(C)c(-c3c(C)c(-c4nc(OC)c(CNCC)cc4)ccc3)ccc2)n1,9.2388239
51,51,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)C4CNC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.2604275
52,52,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)[C@H]4NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.5686359
53,53,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)[C@@H]4NCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.7695513
54,54,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)C4CCNCC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.7589521
55,55,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CCCN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.9554605
56,56,Clc1c(-c2c(Cl)c(-c3ccc(N)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.7759848
57,57,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CCN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.6550188
58,58,Clc1c(-c2c(Cl)c(-c3ccc(NC(=O)CN)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.6345119
59,59,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNC[C@@H](O)CC(=O)O)cc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,9.2189627
60,60,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNCCO)cc2)cccc1-c1nc(OC)c(CNCCO)cc1,8.8416376
61,61,Clc1c(c(F)ccc1-c1c(Cl)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1)-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.1432714
62,62,Clc1c(-c2c(F)c(c(F)cc2)-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.036684
63,63,Clc1c(-c2c(Cl)c(-c3ccc(S(=O)(=O)NCCNC)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,9.3904057
64,64,Clc1c(-c2c(Cl)c(-c3ccc(S(=O)(=O)NCCNC)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.3053951
65,65,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCS(=O)(=O)N)cc3)ccc2)cccc1-c1nc(OC)c(CNCCS(=O)(=O)N)cc1,8.6384611
